reading_id,sensor_id,reading_value,measure_id,reading_timestamp,date_ins,device_id
1,1,21.020,6,2021-05-15T12:44:04,2021-05-15T20:43:51.585582,3
3,1,17.130,6,2021-05-15T11:00:12,2021-05-15T20:43:51.585582,3
5,1,0.190,6,2021-05-15T04:55:01,2021-05-15T20:43:51.585582,3
6,1,26.940,6,2021-05-15T17:20:58,2021-05-15T20:43:51.585582,3
9,1,10.000,6,2021-05-15T09:23:31,2021-05-15T20:43:51.585582,3
12,1,25.870,6,2021-05-15T15:59:28,2021-05-15T20:43:51.585582,3
13,1,27.020,6,2021-05-15T18:08:44,2021-05-15T20:43:51.585582,3
16,1,18.370,6,2021-05-15T11:35:46,2021-05-15T20:43:51.585582,3
18,1,23.140,6,2021-05-15T14:30:49,2021-05-15T20:43:51.585582,3
20,1,27.020,6,2021-05-15T18:13:49,2021-05-15T20:43:51.585582,3
22,1,26.080,6,2021-05-15T16:04:33,2021-05-15T20:43:51.585582,3
25,1,7.080,6,2021-05-15T08:30:30,2021-05-15T20:43:51.585582,3
26,1,13.900,6,2021-05-15T10:19:29,2021-05-15T20:43:51.585582,3
27,1,2.910,6,2021-05-15T07:14:15,2021-05-15T20:43:51.585582,3
30,1,27.010,6,2021-05-15T18:39:17,2021-05-15T20:43:51.585582,3
32,1,26.490,6,2021-05-15T16:19:52,2021-05-15T20:43:51.585582,3
33,1,20.520,6,2021-05-15T12:33:54,2021-05-15T20:43:51.585582,3
35,1,5.830,6,2021-05-15T08:10:10,2021-05-15T20:43:51.585582,3
36,1,22.070,6,2021-05-15T13:29:49,2021-05-15T20:43:51.585582,3
40,1,23.390,6,2021-05-15T14:40:59,2021-05-15T20:43:51.585582,3
42,1,27.010,6,2021-05-15T18:34:12,2021-05-15T20:43:51.585582,3
44,1,6.750,6,2021-05-15T08:25:25,2021-05-15T20:43:51.585582,3
45,1,21.920,6,2021-05-15T13:19:39,2021-05-15T20:43:51.585582,3
47,1,8.380,6,2021-05-15T08:50:50,2021-05-15T20:43:51.585582,3
49,1,19.810,6,2021-05-15T12:18:36,2021-05-15T20:43:51.585582,3
52,1,0.060,6,2021-05-15T04:14:21,2021-05-15T20:43:51.585582,3
54,1,27.020,6,2021-05-15T17:56:33,2021-05-15T20:43:51.585582,3
55,1,0.010,6,2021-05-15T03:48:56,2021-05-15T20:43:51.585582,3
57,1,27.020,6,2021-05-15T18:23:59,2021-05-15T20:43:51.585582,3
59,1,3.610,6,2021-05-15T07:29:30,2021-05-15T20:43:51.585582,3
62,1,24.040,6,2021-05-15T15:08:35,2021-05-15T20:43:51.585582,3
64,1,3.130,6,2021-05-15T07:19:20,2021-05-15T20:43:51.585582,3
65,1,2.310,6,2021-05-15T06:59:00,2021-05-15T20:43:51.585582,3
